nome,tot,male,female
ADELMO VAL,10,10,0
ADELMO VALENTIN,10,10,0
ADELVALDA,17,0,17
ADEMARO,23,23,0
ADEMIO,4,4,0
ADEMLO,5,5,0
ADENACO,25,25,0
ADENIO,8,8,0
ADEO,10,10,0
ADEO GIUSEPPE,12,12,0
ADEODATO,10,10,0
ADEODATO FRANCESCO,1,1,0
ADERBALE,5,5,0
ADERENZIO,15,15,0
ADERICO,10,10,0
ADERINA,5,0,5
ADERITO,34,34,0
ADIBERTO,13,13,0
ADIGLA JONAS,12,12,0
ADINO,29,29,0
ADIO ASSUNTO,5,5,0
ADIS,3,3,0
ADIS FLAVIO,5,5,0
ADLAI,9,9,0
ADLER,16,16,0
ADMETO,5,5,0
ADMO,26,26,0
ADO,70,70,0
ADO GUIDO,5,5,0
ADO ROBERTO,14,14,0
ADOLF,329,329,0
ADOLF JOSEF,5,5,0
ADOLFA,39,0,39
ADOLFINO,2,2,0
ADOLFO,2975,2975,0
ADOLFO ACHILLE,5,5,0
ADOLFO ALESSANDRO,14,14,0
ADOLFO ALFREDO,1,1,0
ADOLFO ANTONIO,4,4,0
ADOLFO BARTOLOMEO,5,5,0
ADOLFO BATTISTA,6,6,0
ADOLFO CAMILLO,5,5,0
ADOLFO CLAUDIO,8,8,0
ADOLFO COSIMO,10,10,0
ADOLFO DANTE,13,13,0
ADOLFO EMILIANO,4,4,0
ADOLFO FRANCESCO,5,5,0
ADOLFO GIOVANNI,2,2,0
ADOLFO LUIGI,3,3,0
ADOLFO MARIA,1,1,0
ADOLFO MARIO,4,4,0
ADOLFO NINO,5,5,0
ADOLFO ROCCO,9,9,0
ADOLFO STEFANO,4,4,0
ADOLIVIO,4,4,0
ADOLORATINA,3,0,3
ADONE,127,127,0
ADONE LUCIANO,10,10,0
ADONELLA,72,0,72
ADONEO,3,3,0
ADONIS,6,6,0
ADORATA,3,0,3
ADOREA,5,0,5
ADORIANO,20,20,0
ADORINA,5,0,5
ADORINO,33,33,0
ADORNO,92,92,0
ADORPAOLO,10,10,0
ADRASTO,10,10,0
ADREA,5,5,0
ADREE,3,0,3
ADREINA,5,0,5
ADRIA,43,5,38
ADRIA ROMANA ITALIA,4,0,4
ADRIAN,30,30,0
ADRIAN0,5,5,0
ADRIANA,2652,0,2652
ADRIANA ANNA,9,0,9
ADRIANA BENEDETTA,10,0,10
ADRIANA CATERINA,23,0,23
ADRIANA FLORA,8,0,8
ADRIANA GIUSEPPINA,5,0,5
ADRIANA GRAZIELLA,1,0,1
ADRIANA LUIGINA,14,0,14
ADRIANA MARIA,36,0,36
ADRIANA MARIA SOFIA,5,0,5
ADRIANA MARIA TERESA,3,0,3
ADRIANA NADIA,7,0,7
ADRIANA PALMA,4,0,4
ADRIANA PASQUALINA,3,0,3
ADRIANA TERESA,21,0,21
ADRIANO,16163,16163,0
ADRIANO ALBERTO,15,15,0
ADRIANO ALESSIO,1,1,0
ADRIANO ALFONSO,12,12,0
ADRIANO ANGELO,24,24,0
ADRIANO ANTONIO,5,5,0
ADRIANO BARTOLOMEO,6,6,0
ADRIANO BRUNO,8,8,0
ADRIANO CARLO,5,5,0
ADRIANO CARMEN,3,3,0
ADRIANO CARMINE,5,5,0
ADRIANO COSIMO,4,4,0
ADRIANO COST,3,3,0
ADRIANO COSTANTINO,5,5,0
ADRIANO DOMENICO,2,2,0
ADRIANO EDOARDO,18,18,0
ADRIANO EGIDIO,2,2,0
ADRIANO ELIO,13,13,0
ADRIANO EMANUELE,4,4,0
ADRIANO ENZO,5,5,0
ADRIANO ERNESTO,5,5,0
ADRIANO EUGENIO,6,6,0
ADRIANO FRANCESCO,5,5,0
ADRIANO FRANCO,12,12,0
ADRIANO GABRIELE,4,4,0
ADRIANO GAETANO,5,5,0
ADRIANO GERARDO,5,5,0
ADRIANO GIOVANNI,66,66,0
ADRIANO GIUS,5,5,0
ADRIANO GIUSEPPE,14,14,0
ADRIANO GUGLIELMO,5,5,0
ADRIANO ITALO,5,5,0
ADRIANO LORENZO,14,14,0
ADRIANO LUIG,10,10,0
ADRIANO LUIGI,46,46,0
ADRIANO MARCELLO,10,10,0
ADRIANO MARIA,5,5,0
ADRIANO MARIO,53,53,0
ADRIANO MARTINO,4,4,0
ADRIANO MASSIMO,15,15,0
ADRIANO MATTEO,5,5,0
ADRIANO MICHELE,3,3,0
ADRIANO ORESTE,4,4,0
ADRIANO PASQUALE,5,5,0
ADRIANO PIETRO,47,47,0
ADRIANO RENZO,4,4,0
ADRIANO SALVATORE,6,6,0
ADRIANO SAMUELE,5,5,0
ADRIANO SANDRO,10,10,0
ADRIANO SEBASTIANO,9,9,0
ADRIANO SERGIO,5,5,0
ADRIANO SEVERO,10,10,0
ADRIANO STEFANO,6,6,0
ADRIANO TERENZIO,9,9,0
ADRIANO VITTORIO,26,26,0
ADRIANO WALTER,10,10,0
ADRIEN,5,5,0
ADRIO,88,88,0
ADUA,14,0,14
ADUINA,5,0,5
ADUINO,20,20,0
ADUO,10,10,0
ADUS,4,4,0
ADY,5,5,0
AELO,3,3,0
AEMIDIO,5,5,0
AFFRICO,17,17,0
AFONSO,5,5,0
AFRA,48,0,48
AFREDO,9,9,0
AFRICANO,5,5,0
AFRICO,10,10,0
AFRO,166,166,0
AGAPITO,71,71,0
AGAPITO LORETO,4,4,0
AGATA,439,5,434
AGATA  ANNA,2,0,2
AGATA ANTONIETTA,5,0,5
AGATA CARMELA,4,0,4
AGATA FRANCESCA,3,0,3
AGATA GIOVANNA,2,0,2
AGATA JOANNA,5,0,5
AGATA LUCIA,12,0,12
AGATA MARIA,17,0,17
AGATA MIRELLA,1,0,1
AGATA MONICA,4,0,4
AGATA RITA,5,0,5
AGATA SEBASTIANA,2,0,2
AGATA SOFIA,6,0,6
AGATHA,20,0,20
AGATINA,18,0,18
AGATINO,323,323,0
AGATINO DOMENICO,5,5,0
AGATINO FRANCESCO,2,2,0
AGATINO GIOVANNI,28,28,0
AGATINO LUIGI,4,4,0
AGATINO MARIO,4,4,0
AGATINO PASQUALE,18,18,0
AGATINO PIETRO,6,6,0
AGATINO RICCARDO,5,5,0
AGATINO SALVATORE,17,17,0
AGATINO SANTI,1,1,0
AGATINO SANTO,4,4,0
AGAZIO,128,128,0
AGENORE,32,32,0
AGEO,34,34,0
AGEO LORIS,5,5,0
AGESILAO,10,10,0
AGGETTINO,5,5,0
AGIDE,28,28,0
AGILBERTO,4,4,0
AGILDO,7,7,0
AGILEO,4,4,0
AGISTINO,5,5,0
AGLAUDIA,1,0,1
AGNELLA,4,0,4
AGNELLO,77,77,0
AGNELLO GIUSEPPE,2,2,0
AGNES,62,0,62
AGNES CECILIA,10,0,10
AGNES NOELLE SUZANNE,2,0,2
AGNESE,1172,15,1157
AGNESE BARBARA,3,0,3
AGNESE CARLO,5,5,0
AGNESE CARMEN,5,0,5
AGNESE CECILIA,4,0,4
