nome,tot,male,female
ANTONIO AMBROGIO,7,7,0
ANTONIO AMEDEO,12,12,0
ANTONIO ANACLETO,6,6,0
ANTONIO ANANIO,10,10,0
ANTONIO ANDREA,81,81,0
ANTONIO ANDREA SALVATORE,1,1,0
ANTONIO ANGELO,289,289,0
ANTONIO ANGELO MARIA,10,10,0
ANTONIO ANGELO RAFFA,5,5,0
ANTONIO ANNIBALE,4,4,0
ANTONIO ANNINO,15,15,0
ANTONIO ANTIMO,10,10,0
ANTONIO APOLLINARE,23,23,0
ANTONIO AQUILINO,5,5,0
ANTONIO AQUILIO,19,19,0
ANTONIO ARCANGELO,7,7,0
ANTONIO ARISTIDE,6,6,0
ANTONIO ARMANDO,4,4,0
ANTONIO ARRIGO,10,10,0
ANTONIO ARTURO,3,3,0
ANTONIO AUGUSTO,23,23,0
ANTONIO AURELIO,5,5,0
ANTONIO BACHISIO,18,18,0
ANTONIO BALDASSARRE,5,5,0
ANTONIO BASILIO,15,15,0
ANTONIO BASSANO,5,5,0
ANTONIO BATTISTA,9,9,0
ANTONIO BENEDETTO,28,28,0
ANTONIO BENIAMINO,5,5,0
ANTONIO BENITO,36,36,0
ANTONIO BENV,5,5,0
ANTONIO BENVENUTO,20,20,0
ANTONIO BIAGIO,31,31,0
ANTONIO BIASE,4,4,0
ANTONIO BRUNO,76,76,0
ANTONIO C,10,10,0
ANTONIO C.,5,5,0
ANTONIO CALOGERO,32,32,0
ANTONIO CAMI,10,10,0
ANTONIO CAMILLO,24,24,0
ANTONIO CAMILLO CLAUDIO,1,1,0
ANTONIO CANDIDO,5,5,0
ANTONIO CARLO,106,106,0
ANTONIO CARLO LUIGI,2,2,0
ANTONIO CARMELO,85,85,0
ANTONIO CARMINE,84,84,0
ANTONIO CATENO,5,5,0
ANTONIO CESARE,60,60,0
ANTONIO CESARINO,15,15,0
ANTONIO CESARIO,2,2,0
ANTONIO CIRO,37,37,0
ANTONIO CLAUDIO,15,15,0
ANTONIO CLEMENTE,7,7,0
ANTONIO CONCETTO,5,5,0
ANTONIO CONCEZIO,10,10,0
ANTONIO COSIMO,36,36,0
ANTONIO COSMA,7,7,0
ANTONIO COSMO,15,15,0
ANTONIO COSTANTINO,27,27,0
ANTONIO CRISTIAN,4,4,0
ANTONIO CROCEFISSO,17,17,0
ANTONIO D,5,5,0
ANTONIO D.,1,1,0
ANTONIO DAMIANO,9,9,0
ANTONIO DANIELE,64,64,0
ANTONIO DANILO,5,5,0
ANTONIO DARIO,52,52,0
ANTONIO DAVIDE,23,23,0
ANTONIO DAVIDE MARIA,2,2,0
ANTONIO DEMETRIO,7,7,0
ANTONIO DETTO ANTONE,5,5,0
ANTONIO DETTO CIRILLO,6,6,0
ANTONIO DETTO ENZO,4,4,0
ANTONIO DETTO PITTO,4,4,0
ANTONIO DETTO TONI,10,10,0
ANTONIO DETTO TONINO,9,9,0
ANTONIO DI ANGELO,4,4,0
ANTONIO DI PIETRO,2,2,0
ANTONIO DIEGO,35,35,0
ANTONIO DINO,14,14,0
ANTONIO DIODATO,10,10,0
ANTONIO DOMENICO,410,410,0
ANTONIO DONATO,72,72,0
ANTONIO DONATO GIUSE,2,2,0
ANTONIO DONATO ROCCO,5,5,0
ANTONIO DOVIGLIANO,20,20,0
ANTONIO DUILIO,15,15,0
ANTONIO E,5,5,0
ANTONIO EDIS,5,5,0
ANTONIO EDMONDO,4,4,0
ANTONIO EDOARDO,5,5,0
ANTONIO EDUAARDO,5,5,0
ANTONIO EDUARDO,29,29,0
ANTONIO EFISIO,28,28,0
ANTONIO EGIDIO,30,30,0
ANTONIO ELEUTERIO,4,4,0
ANTONIO ELIA,10,10,0
ANTONIO ELIO,5,5,0
ANTONIO ELVINO,5,5,0
ANTONIO EMANUELE,19,19,0
ANTONIO EMIL,5,5,0
ANTONIO EMILIO,54,54,0
ANTONIO ENIO,5,5,0
ANTONIO ENRICO,67,67,0
ANTONIO ENZO,5,5,0
ANTONIO EPIFANIO,11,11,0
ANTONIO ERMENEGILDO,9,9,0
ANTONIO ERMETE,4,4,0
ANTONIO ERNESTO,21,21,0
ANTONIO ETTORE,14,14,0
ANTONIO EUCLIDE,18,18,0
ANTONIO EUSEBIO,5,5,0
ANTONIO F.,19,19,0
ANTONIO FABIANO,10,10,0
ANTONIO FABIO,28,28,0
ANTONIO FABRIZIO,1,1,0
ANTONIO FALC,10,10,0
ANTONIO FAUSTO,18,18,0
ANTONIO FEDELE,4,4,0
ANTONIO FEDERICO,37,37,0
ANTONIO FELI,5,5,0
ANTONIO FELICE,61,61,0
ANTONIO FERDINANDO,41,41,0
ANTONIO FERMO,16,16,0
ANTONIO FERN,10,10,0
ANTONIO FERNANDO,73,73,0
ANTONIO FERRANTE,5,5,0
ANTONIO FILIPPO,38,38,0
ANTONIO FILO,10,10,0
ANTONIO FIORE,15,15,0
ANTONIO FLORESTANO,6,6,0
ANTONIO FLORIANO,17,17,0
ANTONIO FORTUNATO,12,12,0
ANTONIO FRAN,5,5,0
ANTONIO FRANCESCO,378,378,0
ANTONIO FRANCESCO M,5,5,0
ANTONIO FRANCESCO RO,5,5,0
ANTONIO FRANCO,114,114,0
ANTONIO G,7,7,0
ANTONIO G.,15,15,0
ANTONIO GABR,4,4,0
ANTONIO GABRIELE,43,43,0
ANTONIO GAETANO,51,51,0
ANTONIO GASPARE,28,28,0
ANTONIO GAVINO,70,70,0
ANTONIO GELSOMINO,4,4,0
ANTONIO GENNARO,15,15,0
ANTONIO GENTILE,5,5,0
ANTONIO GERARDO,82,82,0
ANTONIO GERO,8,8,0
ANTONIO GESUALDO,2,2,0
ANTONIO GESUINO,37,37,0
ANTONIO GIAC,10,10,0
ANTONIO GIACINTO,18,18,0
ANTONIO GIACOMO,65,65,0
ANTONIO GIANFRANCO,31,31,0
ANTONIO GIANNI,5,5,0
ANTONIO GILBERTO,1,1,0
ANTONIO GINO,11,11,0
ANTONIO GIOCONDO,5,5,0
ANTONIO GIORGIO,72,72,0
ANTONIO GIOV,5,5,0
ANTONIO GIOVAN BATTI,5,5,0
ANTONIO GIOVANNI,480,480,0
ANTONIO GIOVANNI BAT,5,5,0
ANTONIO GIOVANNI NIC,2,2,0
ANTONIO GIULIANO,12,12,0
ANTONIO GIULIO,42,42,0
ANTONIO GIUS,17,17,0
ANTONIO GIUSEPPE,883,883,0
ANTONIO GIUSEPPE IGNAZIO,5,5,0
ANTONIO GIUSEPPE MAR,4,4,0
ANTONIO GIUSEPPE MARIA,4,4,0
ANTONIO GIUSEPPE POM,10,10,0
ANTONIO GIUSEPPE POMPEO,1,1,0
ANTONIO GIUSTINIANO,29,29,0
ANTONIO GIUSTINO,41,41,0
ANTONIO GRAZIANO,34,34,0
ANTONIO GRAZIO,8,8,0
ANTONIO GREGORIO,13,13,0
ANTONIO GUGLIELMO,36,36,0
ANTONIO GUIDO,15,15,0
ANTONIO GUSTAVO,15,15,0
ANTONIO IGINO,8,8,0
ANTONIO IGNAZIO,109,109,0
ANTONIO IGNAZIO MART,20,20,0
ANTONIO IMERIO,2,2,0
ANTONIO IMMACOLATO,10,10,0
ANTONIO INNOCENTE,6,6,0
ANTONIO IVANO,15,15,0
ANTONIO JOSE',7,7,0
ANTONIO L,5,5,0
ANTONIO L.,5,5,0
ANTONIO LEONARDO,15,15,0
ANTONIO LEONE,9,9,0
ANTONIO LEOPOLDO,5,5,0
ANTONIO LETT,5,5,0
ANTONIO LETTERIO,5,5,0
ANTONIO LIBERATO,21,21,0
ANTONIO LINO,15,15,0
ANTONIO LODOVICO,10,10,0
ANTONIO LORENZO,94,94,0
ANTONIO LORETO,23,23,0
ANTONIO LORIS,4,4,0
ANTONIO LUCA,13,13,0
ANTONIO LUCIANO,60,60,0
ANTONIO LUCIO,74,74,0
ANTONIO LUDO,5,5,0
ANTONIO LUIGI,635,635,0
ANTONIO LUPO,5,5,0
ANTONIO M.,10,10,0
ANTONIO MANIERI,5,5,0
ANTONIO MARCELLINO,13,13,0
ANTONIO MARCELLO,30,30,0
ANTONIO MARCO,68,68,0
ANTONIO MARI,25,25,0
ANTONIO MARIA,742,737,5
ANTONIO MARIA AUSILI,4,4,0
ANTONIO MARIA DONATO,4,4,0
ANTONIO MARIA G.,3,3,0
ANTONIO MARIANO,23,23,0
ANTONIO MARINO,14,14,0
ANTONIO MARIO,515,515,0
ANTONIO MARIO GERARDO,3,3,0
ANTONIO MARIO GIOVANNI,1,1,0
ANTONIO MARIO IGNAZI,3,3,0
ANTONIO MASSIMILIANO,11,11,0
ANTONIO MASSIMO,65,65,0
ANTONIO MASSIMO FRAN,2,2,0
ANTONIO MATT,10,10,0
ANTONIO MATTEO,66,66,0
ANTONIO MATTIA,3,3,0
ANTONIO MAURIZIO,32,32,0
ANTONIO MAURO,11,11,0
ANTONIO MEMMO,5,5,0
ANTONIO MICH,5,5,0
ANTONIO MICHELE,297,297,0
ANTONIO MISAELE,11,11,0
ANTONIO MODESTO,7,7,0
ANTONIO NATALE,77,77,0
ANTONIO NELLO,5,5,0
ANTONIO NICOLA,122,122,0
ANTONIO NICOLO',4,4,0
ANTONIO NORBERTO,8,8,0
ANTONIO NUNZIO,22,22,0
ANTONIO OMAR,5,5,0
ANTONIO ONOFRIO,4,4,0
ANTONIO ONORATO,44,44,0
ANTONIO ORAZIO,17,17,0
ANTONIO ORESTE,5,5,0
ANTONIO ORLANDO,3,3,0
ANTONIO OSCAR,5,5,0
ANTONIO OSVALDO,11,11,0
ANTONIO OTTAVIA,14,14,0
ANTONIO OTTAVIO,1,1,0
ANTONIO P.A.,5,5,0
ANTONIO PALMERIO,15,15,0
ANTONIO PALMINO,16,16,0
ANTONIO PALMIRO,8,8,0
ANTONIO PANAIOTIS,10,10,0
ANTONIO PANCRAZIO,14,14,0
ANTONIO PANFILO,5,5,0
ANTONIO PANFILO GILD,5,5,0
ANTONIO PANTALEO,9,9,0
ANTONIO PANTALEONE,12,12,0
ANTONIO PAOLO,50,50,0
ANTONIO PAOLO COSIMO,9,9,0
ANTONIO PAOLO LUCIO,7,7,0
ANTONIO PARI,5,5,0
ANTONIO PARIDE,8,8,0
ANTONIO PASQ,5,5,0
ANTONIO PASQUALE,138,138,0
ANTONIO PASQUALINO,16,16,0
ANTONIO PATRICK,6,6,0
ANTONIO PELLEGRINO,24,24,0
ANTONIO PIER ANGIOLO,5,5,0
ANTONIO PIERINO,7,7,0
ANTONIO PIERO,18,18,0
ANTONIO PIERO A.,5,5,0
ANTONIO PIET,13,13,0
ANTONIO PIETRO,294,294,0
ANTONIO PIETRO MARIA,5,5,0
ANTONIO PIETRO PAOLO,6,6,0
ANTONIO PIO,74,74,0
ANTONIO PIO SEB.,5,5,0
ANTONIO POMPEO,7,7,0
ANTONIO POMPEO PIO,3,3,0
ANTONIO POTITO,10,10,0
ANTONIO PRIMALDO,4,4,0
ANTONIO PROSPERO,4,4,0
ANTONIO QUINTO,5,5,0
ANTONIO RAFFAELE,163,163,0
ANTONIO RAIMONDO,21,21,0
ANTONIO RAMON,1,1,0
ANTONIO REMIGIO,5,5,0
ANTONIO REMO,11,11,0
ANTONIO REMY,9,9,0
ANTONIO RENA,9,9,0
ANTONIO RENATO,17,17,0
ANTONIO RENZO,15,15,0
ANTONIO RICCARDO,5,5,0
ANTONIO RINA,4,4,0
ANTONIO RIZIERO,5,5,0
ANTONIO ROBERTINO,5,5,0
ANTONIO ROBERTO,64,64,0
ANTONIO ROCCO,160,160,0
ANTONIO ROCCO DONATO,2,2,0
ANTONIO RODO,5,5,0
ANTONIO RODOLFO,5,5,0
ANTONIO ROMANO,10,10,0
ANTONIO ROMOLO,5,5,0
ANTONIO ROSA,5,5,0
ANTONIO ROSALIO,1,1,0
ANTONIO ROSARIO,50,50,0
ANTONIO ROSARIO B,5,5,0
ANTONIO S,5,5,0
ANTONIO S.,15,15,0
ANTONIO S. V.,5,5,0
ANTONIO S.RE,5,5,0
ANTONIO SABINO,4,4,0
ANTONIO SALL,5,5,0
ANTONIO SALV,8,8,0
ANTONIO SALVATORE,498,498,0
ANTONIO SAMUELE,1,1,0
ANTONIO SANTE,11,11,0
ANTONIO SANTINO,9,9,0
ANTONIO SANTO,35,35,0
ANTONIO SATURNINO,4,4,0
ANTONIO SAVERIO,37,37,0
ANTONIO SEBASTIANO,42,42,0
ANTONIO SECONDO,5,5,0
ANTONIO SERAFINO,10,10,0
ANTONIO SERGIO,41,41,0
ANTONIO SETTIMIO,5,5,0
ANTONIO SEVERINO,1,1,0
ANTONIO SILVANO,23,23,0
ANTONIO SILVESTRO,5,5,0
ANTONIO SILVIO,18,18,0
ANTONIO STEFANO,54,54,0
ANTONIO STELIO DIONISIO,8,8,0
ANTONIO TARCISIO,15,15,0
ANTONIO TEDO,5,5,0
ANTONIO TERENZIO,5,5,0
ANTONIO TIBERIO,33,33,0
ANTONIO TITO,33,33,0
ANTONIO TOMMASO,41,41,0
ANTONIO TULLIO,14,14,0
ANTONIO UBERTO,9,9,0
ANTONIO UGO,25,25,0
ANTONIO ULISSE,9,9,0
ANTONIO UMBERTO,22,22,0
ANTONIO URBANO,5,5,0
ANTONIO VALENTINO,21,21,0
ANTONIO VALERIO,14,14,0
ANTONIO VALTER,5,5,0
ANTONIO VANIA,2,2,0
ANTONIO VASCO,10,10,0
ANTONIO VICTORIO,19,19,0
ANTONIO VILIAM,5,5,0
ANTONIO VINC,10,10,0
ANTONIO VINCENZO,229,229,0
ANTONIO VINICIO,5,5,0
ANTONIO VIRGINIO,10,10,0
ANTONIO VITO,95,95,0
ANTONIO VITTORIO,25,25,0
ANTONIO VITTORIO P.,35,35,0
ANTONIO VITTORIO UGO,14,14,0
ANTONIO WALTER,9,9,0
ANTONIO WILLIAM,5,5,0
ANTONIO ZAVERIO,5,5,0
ANTONIO  PIO,5,5,0
ANTONIOQ,4,4,0
ANTONIOTTO,20,20,0
ANTONIUCCIO,10,10,0
ANTONJIO,1,1,0
ANTONLUCA,11,11,0
ANTONMARCO,1,1,0
ANTONNINO,5,5,0
ANTONO,20,20,0
ANTONONINO,5,5,0
ANTONUIO,3,3,0
ANTONY,7,7,0
ANTOUN,10,10,0
ANTTONINA,5,0,5
ANTUONO,2,2,0
ANUEL,3,3,0
ANUSCA,8,0,8
ANZELMO,5,5,0
ANZIO,25,25,0
APELLE,5,5,0
APICANGELO,3,3,0
APOLLINARE,16,16,0
APOLLINE MAURIZIO,4,4,0
APOLLONIA,35,0,35
APOLLONIO,99,99,0
APOLO,5,5,0
APPIO,26,26,0
APPOLONIA,15,0,15
APRILIA,10,0,10
AQNTONIO,5,5,0
AQUILA,5,0,5
AQUILINA,8,0,8
AQUILINO,173,173,0
AQUILINO PAOLO MARIO,30,30,0
AQUINO,18,18,0
AQUINO RAFFA,5,5,0
ARABELLA,32,3,29
ARALDO,34,34,0
ARAMIS,24,24,0
ARAMUS SIMONE,5,5,0
ARBENO,5,5,0
ARBIRIO,5,5,0
ARCADI,5,5,0
ARCADIA,9,0,9
ARCADIO,71,71,0
ARCADIO CANDIDO,16,16,0
ARCANGELA,99,0,99
ARCANGELA ADA,3,0,3
ARCANGELA MARIA,1,0,1
ARCANGELO,2032,2032,0
ARCANGELO BIAGIO,2,2,0
ARCANGELO DOMENICO,10,10,0
ARCANGELO EMANUELE,5,5,0
ARCANGELO GABRIELE,20,20,0
ARCANGELO LUIGI,8,8,0
ARCANGELO MARCO,5,5,0
ARCANGELO MARINO,3,3,0
ARCANGELO MICHELE,4,4,0
ARCANGELO RAFFAELE,28,28,0
ARCHELAO,10,10,0
ARCHETTI,5,5,0
ARCHIDORO,5,5,0
ARCHIMEDE,171,171,0
ARCHINA,1,0,1
ARCIDIO,5,5,0
ARCIDO,24,24,0
ARCIERI,3,3,0
ARCIMBALDO,5,5,0
ARCINDO,19,19,0
ARCISIO,2,2,0
ARCO,4,4,0
ARCONA,4,4,0
ARCONTE,5,5,0
ARDELIA,5,0,5
ARDELIA ANTONINA,2,0,2
ARDELIO,21,21,0
ARDEMIO,8,8,0
ARDENIO,28,28,0
ARDENISIO,10,10,0
ARDEO,10,10,0
ARDI,5,5,0
ARDICCIO,10,10,0
ARDICIO,15,15,0
ARDILIO,15,15,0
ARDILLES JARY,5,5,0
ARDINO,25,25,0
ARDO EDO,4,4,0
ARDOLINO,15,15,0
ARDUINO,756,756,0
ARDUINO AMERIGO,5,5,0
ARDUINO GIUSEPPE,10,10,0
AREALDO,10,10,0
AREDO,5,5,0
AREZIA,4,4,0
ARFEO,17,17,0
ARGANTE,51,51,0
ARGELINO,5,5,0
ARGEN,4,4,0
ARGENE,21,5,16
ARGENIDE,18,0,18
ARGENIO,43,43,0
ARGENTINA,19,0,19
ARGENTINO,133,133,0
ARGENTINO ANTONIO,9,9,0
ARGENTINO PIO,22,22,0
ARGENTO,7,7,0
ARGENZIANO,4,4,0
ARGEO,80,80,0
ARGIA,48,0,48
ARGIA ANGELA,4,0,4
ARGIO,7,7,0
ARGISTO,5,5,0
ARGO,15,15,0
ARGO FRANCESCO,10,10,0
ARI,4,4,0
ARI',5,5,0
ARIALDO,93,93,0
ARIANA,20,0,20
ARIANE,9,0,9
ARIANE JOHANNA,1,0,1
ARIANNA,898,9,889
ARIANNA FEBRONIA,3,0,3
ARIANNA LUCIA,4,0,4
ARIANNA LUIGIA,7,0,7
ARIANNA MARIA,7,0,7
ARIANNA PAOLA,1,0,1
ARIANO,31,31,0
ARIAS,5,5,0
ARIBERTO,9,9,0
ARIDE,15,15,0
ARIDI,5,5,0
ARIDO,14,14,0
ARIEDO,21,21,0
ARIELA,27,0,27
ARIELLA,68,0,68
ARIES,6,6,0
ARIF,5,5,0
ARIGO,5,5,0
ARILENA,5,0,5
ARIMONDO,6,6,0
ARIO,57,57,0
ARIO ALDO,11,11,0
ARIO STEFANO,4,4,0
ARIOLDO,18,18,0
ARIONE,10,10,0
ARIOSTO,38,38,0
ARIS,12,7,5
ARISTEO,23,23,0
ARISTIDE,848,843,5
ARISTIDE CARLO,12,12,0
ARISTIDE ETTORE,24,24,0
ARISTIDE GIO,5,5,0
ARISTIDE MATTEO,15,15,0
ARISTIDE MAURO,6,6,0
ARISTIDE MUCHELE,5,5,0
ARISTIDE ROBERTO,5,5,0
ARISTIDE STEFANO,8,8,0
ARISTODEMO,84,84,0
ARISTODEMO BRUNO,5,5,0
ARISTOTELE,5,5,0
ARLES,16,16,0
ARLESIANA,5,0,5
ARLET,4,0,4
ARLETTE,8,0,8
ARLEZIANO,4,4,0
ARLI,15,15,0
ARLINA MARIA,3,0,3
ARLINO,5,5,0
ARLO,4,4,0
ARMADO,4,4,0
ARMALDO,5,5,0
ARMAMDO,4,4,0
ARMAN,10,10,0
ARMAND,5,5,0
ARMANDA,145,0,145
ARMANDINA,25,0,25
ARMANDINO,50,50,0
ARMANDO,10848,10843,5
ARMANDO A.,5,5,0
ARMANDO ADOLFO,15,15,0
ARMANDO ADRIANO,10,10,0
ARMANDO ALDO,4,4,0
ARMANDO ALVISE,5,5,0
ARMANDO AMERICO,9,9,0
ARMANDO ANDREINO,43,43,0
ARMANDO ANGELO,24,24,0
ARMANDO ANTONIO,12,12,0
ARMANDO ANTONIO GAETANO,1,1,0
ARMANDO BENITO ROMAN,4,4,0
ARMANDO BRUNO,5,5,0
ARMANDO CARMELO,4,4,0
ARMANDO CARMINE,11,11,0
ARMANDO DOMENICO,48,48,0
ARMANDO DONATO,5,5,0
ARMANDO ERSILIO,5,5,0
ARMANDO EZIO,3,3,0
ARMANDO FABIO,17,17,0
ARMANDO FEDERICO,4,4,0
ARMANDO FRANCESCO,9,9,0
ARMANDO GIORGIO,10,10,0
ARMANDO GIOVANNI,5,5,0
ARMANDO GIUSEPPE,30,30,0
ARMANDO GIUSEPPE EZI,7,7,0
ARMANDO GUERRINO,5,5,0
ARMANDO LORENZO,3,3,0
ARMANDO LUCIANO,2,2,0
ARMANDO LUCIO,3,3,0
ARMANDO LUIGI,38,38,0
ARMANDO MARCELLINO,32,32,0
ARMANDO MARCO,5,5,0
ARMANDO MARIA,10,0,10
ARMANDO MARTINO,5,5,0
ARMANDO MICHELE G,5,5,0
ARMANDO NICOLA,15,15,0
ARMANDO NILDO,10,10,0
ARMANDO OTTAVIO,9,9,0
ARMANDO PAOLO,18,18,0
ARMANDO PATRIZIO,1,1,0
ARMANDO PIETRO,6,6,0
ARMANDO RINO,4,4,0
ARMANDO ROBERTO,20,20,0
ARMANDO ROSARIO,2,2,0
ARMANDO SABATINO,10,10,0
ARMANDO SALVATORE,25,25,0
ARMANDO SILVANO,7,7,0
ARMANDO STEFANO,5,5,0
ARMANDO TOMMASO,10,10,0
ARMANDO VALERIO,5,5,0
ARMANDO VIRGINIO,1,1,0
ARMANDO VITTORE,10,10,0
ARMANDO VITTORIO,7,7,0
ARMANI,5,5,0
ARMANO,36,36,0
ARMELINDO,14,14,0
ARMELIO,13,13,0
ARMELIO RICCARDO,5,5,0
ARMEN,28,28,0
ARMENIO,57,57,0
ARMENIO ANGELA,5,0,5
ARMENIO FRAN,5,5,0
ARMENO,4,4,0
ARMIDA,80,0,80
ARMIDIO,5,5,0
ARMIDO,137,137,0
ARMIDO ALFREDO ANTON,5,5,0
ARMIDORO,11,11,0
ARMIN,243,243,0
ARMINDO,43,43,0
ARMINIO,9,9,0
ARMISTIZIO MATTEO,10,10,0
ARMO,5,5,0
ARMODIO,2,2,0
ARNALDA,21,0,21
ARNALDO,3164,3159,5
ARNALDO  GABRIELE,3,3,0
ARNALDO ALBERTO,4,4,0
ARNALDO CANDIDO,9,9,0
ARNALDO DINO,10,10,0
ARNALDO FRANCO,5,5,0
ARNALDO GABRIELE,3,3,0
ARNALDO GERARDO,7,7,0
ARNALDO GIUSEPPE,33,33,0
ARNALDO MICH,5,5,0
ARNALDO RICCARDO,5,5,0
ARNALDO ROLA,5,5,0
ARNALDO S,5,5,0
ARNALDO UMBERTO,2,2,0
ARNDT LOTHAR,5,5,0
ARNELIO GIOVANNI,6,6,0
ARNIDO,5,5,0
ARNO,56,56,0
ARNOLD,417,417,0
ARNOLD FRANZ,13,13,0
ARNOLDO,44,44,0
ARNOLDO GIUSEPPE,3,3,0
AROLDO,133,133,0
AROLDO GIULIO,10,10,0
ARONE,29,29,0
ARONNE,87,87,0
ARONTE,11,11,0
ARPINO,10,10,0
ARPO,9,9,0
ARRI GIUSEPPE,20,20,0
ARRIGO,1235,1235,0
ARRIGO ANTONIO,10,10,0
ARRIGO ERMANNO,5,5,0
ARRIGO GIOV,10,10,0
ARRIGO GIUSEPPE,4,4,0
ARRIGO MARIO,9,9,0
ARRIGO TIZIANO,14,14,0
ARSENIO,208,208,0
ARSENIO AMADIO,4,4,0
ARSENO,4,4,0
ARSILIANO,5,5,0
ARTEMIO,275,275,0
ARTEMIO GAETANO,1,1,0
ARTEMISIA,12,0,12
ARTEMISIO,5,5,0
ARTEMISIO FRANCESCO,1,1,0
ARTENIO,36,36,0
ARTERIO,10,10,0
ARTESIO,6,6,0
ARTHUR,122,122,0
ARTHUR FRANZ,5,5,0
ARTHUR JOSEF,6,6,0
ARTICO,5,5,0
ARTIDORO,6,6,0
ARTIMINO,5,5,0
ARTUR,67,67,0
ARTURA,12,10,2
ARTURINA,4,0,4
ARTURO,4316,4316,0
ARTURO ALFREDO,12,12,0
ARTURO ANDREA,10,10,0
ARTURO ANGELO,30,30,0
ARTURO ANTONIO,7,7,0
ARTURO BENEDETTO,4,4,0
ARTURO CARLO,15,15,0
ARTURO DOLOROSO,10,10,0
ARTURO DONATO,5,5,0
ARTURO FRANCO,10,10,0
ARTURO GIOVANNI,59,59,0
ARTURO GIUSEPPE,20,20,0
ARTURO LUCIANO,14,14,0
ARTURO LUIGI,1,1,0
ARTURO MARIO,22,22,0
ARTURO MARTINO,4,4,0
ARTURO PATRIZIO,15,15,0
ARTURO RAFFAELE,1,1,0
ARTURO SANDRO,8,8,0
ARTURO SEBAS,5,5,0
ARTURO SERGIO,12,12,0
ARTURO UGO,4,4,0
ARTURO VINCENZO,5,5,0
ARTURO VITO,18,18,0
ARTURO WALTER,1,1,0
ARTUTO,5,5,0
ARVEDO,5,5,0
ARVENIO,17,17,0
ARVENO,26,26,0
ARVERNO GIUSEPPE,5,5,0
ARVIT,17,17,0
ARYO ROMANO GERMANIC,2,2,0
ARZELINO,10,10,0
ARZENO,8,8,0
ASCANIO,120,120,0
ASCANIO FAUSTO,3,3,0
ASCAR,5,5,0
ASCENSIO,5,5,0
ASCENSO,15,15,0
ASCENZINO,8,8,0
ASCENZIO,82,82,0
ASCENZIO MARIA CATENA,3,3,0
ASCENZO,38,38,0
ASCENZO DOMENICO,7,7,0
ASCLEPIA,4,4,0
ASHRAF,9,9,0
ASIO,14,14,0
ASLAN DOMENICO,5,5,0
ASMARA PIERA,14,0,14
ASPASIA,10,0,10
ASPRANO,5,5,0
ASPREMO,4,4,0
ASSALONNE,5,5,0
ASSIA,13,0,13
ASSIRIDE,9,9,0
ASSUERO,25,25,0
ASSUNTA,833,0,833
ASSUNTA ANNA,14,0,14
ASSUNTA BEATRICE,18,0,18
ASSUNTA CARMELA,36,0,36
ASSUNTA GERARDA,14,0,14
ASSUNTA GIOVANNA,10,0,10
ASSUNTA INES,11,0,11
ASSUNTA M T,4,0,4
ASSUNTA M.T.,5,0,5
ASSUNTA MARIA,18,0,18
ASSUNTA MONIA,2,0,2
ASSUNTA PIA,24,0,24
ASSUNTA SILVIA,4,0,4
ASSUNTINA,59,0,59
ASSUNTINO,25,25,0
ASSUNTINO BIAGIO,24,24,0
ASSUNTO,36,36,0
ASSUNTO DOMENICO,5,5,0
ASSUNTO LUIGI,15,15,0
ASSUNTO PAOLO,5,5,0
ASTADEO,5,5,0
ASTELLO,5,5,0
ASTELVIO,5,5,0
ASTENIO,9,9,0
ASTENORE,3,3,0
ASTERIO,5,5,0
ASTOLFI,4,4,0
ASTOLFO,8,8,0
ASTORE,10,10,0
ASTORRE,21,21,0
ASTORRI,3,3,0
ASTORRO,5,5,0
ASTRA,16,0,16
ASTRID,97,0,97
ASTRID CRISTINA,9,0,9
ASTRID DINA,5,0,5
ASTRID FRANCESCA,2,0,2
ASTRO,1,1,0
ASVERI,5,5,0
ATALIO,23,23,0
ATANASIO,55,55,0
ATEMIO,10,10,0
ATENA,1,0,1
ATENE,10,0,10
ATHINA,6,0,6
ATHOS,227,227,0
ATHOS RUGGERO,10,10,0
ATONELLO,5,5,0
ATOS,116,116,0
ATOS GUSTAVO,9,9,0
ATRIA,6,0,6
ATTALLA,9,9,0
ATTANASIO,19,19,0
ATTANASIO ADOLFO,2,2,0
ATTANASIO PASQUALE,4,4,0
ATTANASIO VINCENZO,9,9,0
ATTEO,6,6,0
ATTIGLIO,4,4,0
ATTILA,20,20,0
ATTILIA,170,0,170
ATTILIA BENEDETTA,1,0,1
ATTILIA LIVIA,2,0,2
ATTILIA MARIA ROSA,15,0,15
ATTILIA ROSA,9,0,9
ATTILIO,7811,7806,5
ATTILIO ALESSANDRO,10,10,0
ATTILIO ALFIO,5,5,0
ATTILIO ALFREDO,28,28,0
ATTILIO AMBROGI,1,1,0
ATTILIO ANDREA,4,4,0
ATTILIO ANGELO,10,10,0
ATTILIO ANT.,4,4,0
ATTILIO ANTONIO,21,21,0
ATTILIO C,10,10,0
ATTILIO CARLO,4,4,0
ATTILIO CESARE,5,5,0
ATTILIO CIRO,4,4,0
ATTILIO DANTE,2,2,0
ATTILIO DAVIDE,5,5,0
ATTILIO ERNESTO,5,5,0
ATTILIO FELICE,2,2,0
ATTILIO FRANCESCO,24,24,0
ATTILIO FULVIO,14,14,0
ATTILIO GILDO,2,2,0
ATTILIO GIOVANNI,10,10,0
ATTILIO GIULIO,14,14,0
ATTILIO GIUSEPPE,25,25,0
